I,'ID',STAT,AREA,ZONE,      PL,        QL,        IP,        IQ,        YP,        YQ, OWNER,SCALE,INTRPT,  DGENP,     DGENQ, DGENM
 1085,'1 ',1,   1,   9,     3.813,     0.828,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1085,'2 ',1,   1,   9,    23.979,     5.206,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1086,'1 ',1,   1,   9,    51.772,    11.240,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1087,'1 ',1,   1,   9,     1.186,     0.258,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1089,'1 ',1,   1,   9,     1.084,     0.235,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1089,'2 ',1,   1,   9,    51.905,    11.269,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1091,'1 ',1,   1,   9,     6.150,     1.335,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 1091,'2 ',1,   1,   9,     9.016,     1.958,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2001,'1 ',1,   2,  11,    18.671,     4.054,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2001,'2 ',1,   2,  11,    44.435,     9.647,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2007,'1 ',1,   2,  11,    12.450,     2.703,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2008,'1 ',1,   2,  10,    10.520,     2.284,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2009,'1 ',1,   2,  11,    51.071,    11.088,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2010,'1 ',1,   2,  10,     6.663,     1.447,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2010,'2 ',1,   2,  10,    12.536,     2.722,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2010,'3 ',1,   2,  10,     3.821,     0.830,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2010,'4 ',1,   2,  10,     0.251,     0.054,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2010,'5 ',1,   2,  10,    50.860,    11.042,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2014,'1 ',1,   2,  10,     4.729,     1.027,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2014,'2 ',1,   2,  10,    28.454,     6.178,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2015,'1 ',1,   2,  11,     6.115,     1.328,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2016,'1 ',1,   2,  11,    90.393,    19.626,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2020,'1 ',1,   2,  11,    62.605,    13.592,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2022,'1 ',1,   2,  11,    15.092,     3.277,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2025,'1 ',1,   2,  11,    51.701,    11.225,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2026,'1 ',1,   2,  10,     3.277,     0.711,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2026,'2 ',1,   2,  10,     1.237,     0.269,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2026,'3 ',1,   2,  10,     9.361,     2.032,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2026,'4 ',1,   2,  10,    10.359,     2.249,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2027,'1 ',1,   2,  11,     4.639,     1.007,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2028,'1 ',1,   2,  11,    18.581,     4.034,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2029,'1 ',1,   2,  10,     4.177,     0.907,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2030,'1 ',1,   2,  11,     5.105,     1.108,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2030,'2 ',1,   2,  11,    56.419,    12.249,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2031,'1 ',1,   2,  10,     1.026,     0.223,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2031,'2 ',1,   2,  10,     1.660,     0.360,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2031,'3 ',1,   2,  10,     4.839,     1.051,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2032,'1 ',1,   2,  11,     4.377,     0.950,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2033,'1 ',1,   2,  11,     1.699,     0.369,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2033,'2 ',1,   2,  11,    16.012,     3.477,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2034,'1 ',1,   2,  11,     6.969,     1.513,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2035,'1 ',1,   2,  10,     5.414,     1.176,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2035,'2 ',1,   2,  10,     0.697,     0.151,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2036,'1 ',1,   2,  11,    54.270,    11.783,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2037,'1 ',1,   2,  11,     0.900,     0.195,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2037,'2 ',1,   2,  11,     3.668,     0.796,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2038,'1 ',1,   2,  11,     3.398,     0.738,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2039,'1 ',1,   2,  11,     7.254,     1.575,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2040,'1 ',1,   2,  11,    20.753,     4.506,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2043,'1 ',1,   2,  11,     5.528,     1.200,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2044,'1 ',1,   2,  11,    35.764,     7.765,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2045,'1 ',1,   2,  11,    29.500,     6.405,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2046,'1 ',1,   2,  11,    28.885,     6.271,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2047,'1 ',1,   2,  11,    12.277,     2.666,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2047,'2 ',1,   2,  11,     7.239,     1.572,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2048,'1 ',1,   2,  10,     8.374,     1.818,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2049,'1 ',1,   2,  10,     0.634,     0.138,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2049,'2 ',1,   2,  10,     0.756,     0.164,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2049,'3 ',1,   2,  10,    13.710,     2.977,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2050,'1 ',1,   2,  11,     4.772,     1.036,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2051,'1 ',1,   2,  11,    23.294,     5.057,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2052,'1 ',1,   2,  10,    12.344,     2.680,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2052,'2 ',1,   2,  10,    20.068,     4.357,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2053,'1 ',1,   2,  11,    38.019,     8.254,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2055,'1 ',1,   2,  11,    64.754,    14.059,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2060,'1 ',1,   2,  11,     4.952,     1.075,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2063,'1 ',1,   2,  11,    85.629,    18.591,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2064,'1 ',1,   2,  11,     9.185,     1.994,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2064,'2 ',1,   2,  11,     3.927,     0.853,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2065,'1 ',1,   2,  11,   102.260,    22.202,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2066,'1 ',1,   2,  10,     5.285,     1.147,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2066,'2 ',1,   2,  10,     3.316,     0.720,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2066,'3 ',1,   2,  10,     0.681,     0.148,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2067,'1 ',1,   2,  11,    70.427,    15.291,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2068,'1 ',1,   2,  11,     7.517,     1.632,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2069,'1 ',1,   2,  11,    28.611,     6.212,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2072,'1 ',1,   2,  11,    12.665,     2.750,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2079,'1 ',1,   2,  10,     5.845,     1.269,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2080,'1 ',1,   2,  11,    22.096,     4.797,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2081,'1 ',1,   2,  11,     5.826,     1.265,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2082,'1 ',1,   2,  11,    77.035,    16.725,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2086,'1 ',1,   2,  11,     2.862,     0.621,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2087,'1 ',1,   2,  10,    10.304,     2.237,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2090,'1 ',1,   2,  11,     3.163,     0.687,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2091,'1 ',1,   2,  10,    22.245,     4.830,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2092,'1 ',1,   2,  11,    31.461,     6.831,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2106,'1 ',1,   2,  11,    18.796,     4.081,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2107,'1 ',1,   2,  11,    96.767,    21.009,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2108,'1 ',1,   2,  10,     2.799,     0.608,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2109,'1 ',1,   2,  11,    44.122,     9.579,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2110,'1 ',1,   2,  11,    11.209,     2.434,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2111,'1 ',1,   2,  11,     9.138,     1.984,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2111,'2 ',1,   2,  11,     9.071,     1.969,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2112,'1 ',1,   2,  11,     5.927,     1.287,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2114,'1 ',1,   2,  11,    92.363,    20.053,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2121,'1 ',1,   2,  11,     3.046,     0.661,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2122,'1 ',1,   2,  11,     8.774,     1.905,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2124,'1 ',1,   2,  11,    27.777,     6.031,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2125,'1 ',1,   2,  11,     5.293,     1.149,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2126,'1 ',1,   2,  11,    18.577,     4.033,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2129,'1 ',1,   2,  11,     8.656,     1.879,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2132,'1 ',1,   2,  10,    15.582,     3.383,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 2133,'1 ',1,   2,  11,     7.411,     1.609,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3002,'1 ',1,   3,  28,   147.282,    31.977,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3005,'1 ',1,   3,  28,     1.034,     0.224,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3005,'2 ',1,   3,  28,     1.077,     0.234,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3005,'3 ',1,   3,  28,     7.470,     1.622,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3006,'1 ',1,   3,  27,     9.588,     2.082,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3007,'1 ',1,   3,  27,    19.528,     4.240,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3008,'1 ',1,   3,  27,    24.790,     5.382,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3008,'2 ',1,   3,  27,     1.061,     0.230,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3009,'1 ',1,   3,  28,    16.365,     3.553,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3010,'1 ',1,   3,  28,     6.096,     1.323,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3011,'1 ',1,   3,  28,    24.770,     5.378,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3011,'2 ',1,   3,  28,    10.645,     2.311,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3012,'1 ',1,   3,  28,     0.736,     0.160,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3013,'1 ',1,   3,  27,    84.247,    18.291,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3014,'1 ',1,   3,  28,    28.713,     6.234,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3015,'1 ',1,   3,  27,     7.000,     1.520,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3021,'1 ',1,   3,  27,     0.685,     0.149,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3021,'2 ',1,   3,  27,     1.848,     0.401,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3022,'1 ',1,   3,  27,    32.091,     6.967,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3023,'1 ',1,   3,  27,    13.581,     2.949,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3024,'1 ',1,   3,  28,    13.221,     2.870,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3025,'1 ',1,   3,  28,    17.845,     3.874,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3029,'1 ',1,   3,  28,     6.350,     1.379,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3030,'1 ',1,   3,  27,   169.285,    36.754,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3031,'1 ',1,   3,  27,    19.227,     4.174,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3032,'1 ',1,   3,  27,    95.088,    20.645,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3035,'1 ',1,   3,  28,     4.522,     0.982,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3036,'1 ',1,   3,  28,     1.695,     0.368,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3036,'2 ',1,   3,  28,     5.876,     1.276,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3040,'1 ',1,   3,  27,    19.062,     4.139,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3042,'1 ',1,   3,  27,     6.546,     1.421,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3042,'2 ',1,   3,  27,     4.878,     1.059,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3049,'1 ',1,   3,  27,    13.812,     2.999,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3051,'1 ',1,   3,  28,     1.100,     0.239,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3051,'2 ',1,   3,  28,   188.503,    40.927,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3052,'1 ',1,   3,  28,    10.539,     2.288,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3066,'1 ',1,   3,  28,    28.756,     6.243,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3069,'1 ',1,   3,  27,     4.976,     1.080,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3072,'1 ',1,   3,  27,     7.810,     1.696,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3075,'1 ',1,   3,  28,    15.899,     3.452,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3076,'1 ',1,   3,  28,    14.086,     3.058,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3077,'1 ',1,   3,  27,    89.595,    19.452,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3093,'1 ',1,   3,  28,     6.585,     1.430,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3099,'1 ',1,   3,  27,    15.762,     3.422,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3100,'1 ',1,   3,  27,    11.126,     2.416,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3101,'1 ',1,   3,  28,     0.137,     0.030,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3101,'2 ',1,   3,  28,     3.645,     0.791,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3101,'3 ',1,   3,  28,     8.527,     1.851,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3102,'1 ',1,   3,  27,    98.208,    21.322,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3103,'1 ',1,   3,  27,     0.435,     0.094,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3103,'2 ',1,   3,  27,    50.875,    11.046,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3107,'1 ',1,   3,  28,    19.403,     4.213,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3108,'1 ',1,   3,  28,    30.698,     6.665,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
 3114,'1 ',1,   3,  27,     0.200,     0.043,     0.000,     0.000,     0.000,     0.000,   1,1, 0,     0.000,     0.000, 1
