   I,'NAME        ', BASKV, IDE,AREA,ZONE,OWNER, VM,        VA,    NVHI,   NVLO,   EVHI,   EVLO
 1090,'GOLDSMITH 0 ', 115.0000,2,   1,   9,   1,0.99985850,  20.923381, 1.10000, 0.90000, 1.10000, 0.90000
 1091,'RALLS 2 0   ', 161.0000,1,   1,   9,   1,0.96934557,  13.133821, 1.10000, 0.90000, 1.10000, 0.90000
 2001,'PARIS 3 0   ', 161.0000,1,   2,  11,   1,0.99884927, -46.133871, 1.10000, 0.90000, 1.10000, 0.90000
 2002,'SAVOY 0     ', 500.0000,1,   2,  11,   1,1.00977743, -47.039704, 1.10000, 0.90000, 1.10000, 0.90000
 2003,'SAVOY 1     ', 161.0000,1,   2,  11,   1,1.00813627, -49.360626, 1.10000, 0.90000, 1.10000, 0.90000
 2004,'SAVOY 2     ',  13.8000,1,   2,  11,   1,1.00977743, -47.039704, 1.10000, 0.90000, 1.10000, 0.90000
 2005,'SAVOY 3     ',  13.8000,1,   2,  11,   1,1.00977743, -47.039704, 1.10000, 0.90000, 1.10000, 0.90000
 2006,'SAVOY 4     ',  13.8000,1,   2,  11,   1,1.00977743, -47.039704, 1.10000, 0.90000, 1.10000, 0.90000
 2007,'HONEY GROV~1', 161.0000,1,   2,  11,   1,1.00078464, -45.447273, 1.10000, 0.90000, 1.10000, 0.90000
 2008,'MEMPHIS 0   ', 161.0000,2,   2,  10,   1,1.00157499,  21.677168, 1.10000, 0.90000, 1.10000, 0.90000
 2009,'IOWA PARK 0 ', 161.0000,1,   2,  11,   1,0.98841572, -12.560129, 1.10000, 0.90000, 1.10000, 0.90000
 2010,'VERNON 2 0  ', 161.0000,2,   2,  10,   1,1.00000000,  11.027212, 1.10000, 0.90000, 1.10000, 0.90000
 2011,'PANHANDLE ~2', 500.0000,2,   2,  10,   1,1.00868583,   6.773872, 1.10000, 0.90000, 1.10000, 0.90000
 2012,'PANHANDLE ~3', 161.0000,2,   2,  10,   1,0.99157143,  13.723669, 1.10000, 0.90000, 1.10000, 0.90000
 2013,'PANHANDLE ~4',  18.0000,2,   2,  10,   1,1.00000000,   9.399507, 1.10000, 0.90000, 1.10000, 0.90000
 2014,'CHILDRESS 0 ', 161.0000,1,   2,  10,   1,0.99577314,  21.638003, 1.10000, 0.90000, 1.10000, 0.90000
 2015,'FORESTBURG 0', 161.0000,1,   2,  11,   1,0.99210906, -40.771612, 1.10000, 0.90000, 1.10000, 0.90000
 2016,'SHERMAN 3 0 ', 161.0000,2,   2,  11,   1,1.00440419, -56.833796, 1.10000, 0.90000, 1.10000, 0.90000
 2017,'PANHANDLE ~7', 500.0000,1,   2,  10,   1,1.02153838,   1.806727, 1.10000, 0.90000, 1.10000, 0.90000
 2018,'PANHANDLE ~8', 161.0000,1,   2,  10,   1,0.99899757,   5.768814, 1.10000, 0.90000, 1.10000, 0.90000
 2019,'PANHANDLE ~9',  20.0000,1,   2,  10,   1,1.02153838,   1.806727, 1.10000, 0.90000, 1.10000, 0.90000
 2020,'WICHITA F~12', 161.0000,1,   2,  11,   1,0.96723551, -18.780823, 1.10000, 0.90000, 1.10000, 0.90000
 2021,'PARIS 2 0   ', 500.0000,1,   2,  11,   1,1.01334906, -42.160934, 1.10000, 0.90000, 1.10000, 0.90000
 2022,'PARIS 2 1   ', 161.0000,1,   2,  11,   1,1.00868416, -44.447879, 1.10000, 0.90000, 1.10000, 0.90000
 2023,'PARIS 2 2   ',  13.8000,2,   2,  11,   1,1.01999998, -40.593354, 1.10000, 0.90000, 1.10000, 0.90000
 2024,'PARIS 2 3   ',  13.8000,2,   2,  11,   1,1.01999998, -39.925669, 1.10000, 0.90000, 1.10000, 0.90000
 2025,'WICHITA F~10', 161.0000,1,   2,  11,   1,0.96427834, -18.786849, 1.10000, 0.90000, 1.10000, 0.90000
 2026,'WHEELER 0   ', 161.0000,1,   2,  10,   1,0.98934329,   8.120981, 1.10000, 0.90000, 1.10000, 0.90000
 2027,'DEPORT 0    ', 161.0000,1,   2,  11,   1,0.99912822, -46.595656, 1.10000, 0.90000, 1.10000, 0.90000
 2028,'WICHITA FA~9', 161.0000,1,   2,  11,   1,0.97693866, -19.784538, 1.10000, 0.90000, 1.10000, 0.90000
 2029,'SILVERTON 0 ', 161.0000,2,   2,  10,   1,1.00000000,  23.087272, 1.10000, 0.90000, 1.10000, 0.90000
 2030,'BONHAM 0    ', 161.0000,1,   2,  11,   1,0.98585105, -50.336288, 1.10000, 0.90000, 1.10000, 0.90000
 2031,'MATADOR 0   ', 161.0000,1,   2,  10,   1,0.99812561,  13.217971, 1.10000, 0.90000, 1.10000, 0.90000
 2032,'ARTHUR CIT~1', 161.0000,1,   2,  11,   1,1.00301719, -44.737763, 1.10000, 0.90000, 1.10000, 0.90000
 2033,'LEONARD 0   ', 161.0000,1,   2,  11,   1,0.98969316, -51.823312, 1.10000, 0.90000, 1.10000, 0.90000
 2034,'GORDONVILL~1', 161.0000,1,   2,  11,   1,1.00138462, -56.126987, 1.10000, 0.90000, 1.10000, 0.90000
 2035,'KNOX CITY 0 ', 161.0000,2,   2,  10,   1,1.00000000,  19.409904, 1.10000, 0.90000, 1.10000, 0.90000
 2036,'WICHITA F~13', 161.0000,1,   2,  11,   1,0.97097391, -16.656065, 1.10000, 0.90000, 1.10000, 0.90000
 2037,'LINDSAY 0   ', 161.0000,1,   2,  11,   1,1.00232136, -40.775307, 1.10000, 0.90000, 1.10000, 0.90000
 2038,'ECTOR 0     ', 161.0000,1,   2,  11,   1,1.00721014, -49.401054, 1.10000, 0.90000, 1.10000, 0.90000
 2039,'SUNSET 0    ', 161.0000,1,   2,  11,   1,0.98056710, -38.383215, 1.10000, 0.90000, 1.10000, 0.90000
 2040,'CLARKSVILL~1', 161.0000,1,   2,  11,   1,1.00525141, -45.169274, 1.10000, 0.90000, 1.10000, 0.90000
 2041,'PANHANDLE ~5', 161.0000,2,   2,  10,   1,1.00000000,  18.182319, 1.10000, 0.90000, 1.10000, 0.90000
 2042,'PANHANDLE ~6',  18.0000,2,   2,  10,   1,1.00999999,  21.134186, 1.10000, 0.90000, 1.10000, 0.90000
 2043,'SADLER 0    ', 161.0000,1,   2,  11,   1,1.00244951, -56.456786, 1.10000, 0.90000, 1.10000, 0.90000
 2044,'WHITESBORO 0', 161.0000,1,   2,  11,   1,0.99753749, -46.189386, 1.10000, 0.90000, 1.10000, 0.90000
 2045,'SHEPPARD A~1', 161.0000,1,   2,  11,   1,0.96868813, -19.064451, 1.10000, 0.90000, 1.10000, 0.90000
 2046,'POTTSBORO 0 ', 161.0000,1,   2,  11,   1,1.00072610, -55.696419, 1.10000, 0.90000, 1.10000, 0.90000
 2047,'BELLS 0     ', 161.0000,1,   2,  11,   1,1.00591135, -50.500332, 1.10000, 0.90000, 1.10000, 0.90000
 2048,'CROSBYTON 0 ', 161.0000,2,   2,  10,   1,1.00000000,  15.097033, 1.10000, 0.90000, 1.10000, 0.90000
 2049,'ELECTRA 0   ', 161.0000,2,   2,  10,   1,1.00000000,  -3.758409, 1.10000, 0.90000, 1.10000, 0.90000
 2050,'PATTONVILL~1', 161.0000,1,   2,  11,   1,0.99064565, -49.690828, 1.10000, 0.90000, 1.10000, 0.90000
 2051,'HENRIETTA 0 ', 161.0000,2,   2,  11,   1,1.00000000, -28.519615, 1.10000, 0.90000, 1.10000, 0.90000
 2052,'PANHANDLE~13', 161.0000,1,   2,  10,   1,0.98971879,  17.066139, 1.10000, 0.90000, 1.10000, 0.90000
 2053,'BOWIE 0     ', 161.0000,1,   2,  11,   1,0.98267430, -39.654497, 1.10000, 0.90000, 1.10000, 0.90000
 2054,'WICHITA FA~1', 500.0000,1,   2,  11,   1,0.96774763, -18.586562, 1.10000, 0.90000, 1.10000, 0.90000
 2055,'WICHITA FA~2', 161.0000,1,   2,  11,   1,0.96678424, -18.125003, 1.10000, 0.90000, 1.10000, 0.90000
 2056,'WICHITA FA~3',  18.0000,1,   2,  11,   1,0.96774763, -18.586562, 1.10000, 0.90000, 1.10000, 0.90000
 2057,'WICHITA FA~4',  18.0000,2,   2,  11,   1,0.99000001, -15.309949, 1.10000, 0.90000, 1.10000, 0.90000
 2058,'WHITE DEER 0', 161.0000,1,   2,  10,   1,0.99901521,  16.959507, 1.10000, 0.90000, 1.10000, 0.90000
 2059,'WHITE DEER 1',  13.8000,2,   2,  10,   1,1.00000000,  20.433247, 1.10000, 0.90000, 1.10000, 0.90000
 2060,'ROXTON 0    ', 161.0000,1,   2,  11,   1,0.99484432, -48.172983, 1.10000, 0.90000, 1.10000, 0.90000
 2061,'VERNON 1 0  ', 161.0000,1,   2,  10,   1,0.99858028,   2.085314, 1.10000, 0.90000, 1.10000, 0.90000
 2062,'VERNON 1 1  ',  18.0000,2,   2,  10,   1,1.01105905,   4.424306, 1.10000, 0.90000, 1.10000, 0.90000
 2063,'DENISON 2 0 ', 161.0000,1,   2,  11,   1,1.00186789, -54.933518, 1.10000, 0.90000, 1.10000, 0.90000
 2064,'SUMNER 0    ', 161.0000,1,   2,  11,   1,1.00098717, -46.308334, 1.10000, 0.90000, 1.10000, 0.90000
 2065,'GAINESVILL~1', 161.0000,2,   2,  11,   1,1.00000000, -43.127928, 1.10000, 0.90000, 1.10000, 0.90000
 2066,'ASPERMONT 0 ', 161.0000,1,   2,  10,   1,0.97903550,  12.000215, 1.10000, 0.90000, 1.10000, 0.90000
 2067,'WICHITA F~11', 161.0000,1,   2,  11,   1,0.96420217, -19.276129, 1.10000, 0.90000, 1.10000, 0.90000
 2068,'WINDTHORST 0', 161.0000,1,   2,  11,   1,0.98139602, -18.850397, 1.10000, 0.90000, 1.10000, 0.90000
 2069,'HOWE 0      ', 161.0000,1,   2,  11,   1,1.02087319, -55.761282, 1.10000, 0.90000, 1.10000, 0.90000
 2070,'ARCHER 2 0  ', 161.0000,1,   2,  11,   1,0.98540020, -18.996223, 1.10000, 0.90000, 1.10000, 0.90000
 2071,'ARCHER 2 1  ',  18.0000,2,   2,  11,   1,1.00000000, -15.279857, 1.10000, 0.90000, 1.10000, 0.90000
 2072,'COLLINSVIL~1', 161.0000,1,   2,  11,   1,1.01290154, -53.337917, 1.10000, 0.90000, 1.10000, 0.90000
 2073,'JAYTON 0    ', 161.0000,1,   2,  10,   1,0.97295749,   6.336018, 1.10000, 0.90000, 1.10000, 0.90000
 2074,'JAYTON 1    ', 115.0000,1,   2,  10,   1,0.98673022,   8.659285, 1.10000, 0.90000, 1.10000, 0.90000
 2075,'JAYTON 2    ', 115.0000,1,   2,  10,   1,0.98673022,   8.659285, 1.10000, 0.90000, 1.10000, 0.90000
 2076,'JAYTON 3    ',  24.0000,2,   2,  10,   1,0.97843665,   7.323331, 1.10000, 0.90000, 1.10000, 0.90000
 2077,'MUENSTER 1 0', 161.0000,1,   2,  11,   1,1.00992358, -37.595697, 1.10000, 0.90000, 1.10000, 0.90000
 2078,'MUENSTER 1 1',  13.8000,2,   2,  11,   1,1.01999998, -34.259409, 1.10000, 0.90000, 1.10000, 0.90000
 2079,'PADUCAH 0   ', 161.0000,1,   2,  10,   1,1.00074112,  12.497287, 1.10000, 0.90000, 1.10000, 0.90000
 2080,'NOCONA 0    ', 161.0000,1,   2,  11,   1,0.99616200, -31.494955, 1.10000, 0.90000, 1.10000, 0.90000
 2081,'DODD CITY 0 ', 161.0000,2,   2,  11,   1,1.00547397, -49.399866, 1.10000, 0.90000, 1.10000, 0.90000
 2082,'WICHITA FA~5', 161.0000,1,   2,  11,   1,0.97526592, -15.493002, 1.10000, 0.90000, 1.10000, 0.90000
 2083,'WICHITA FA~6',  20.0000,2,   2,  11,   1,0.99036789, -13.819353, 1.10000, 0.90000, 1.10000, 0.90000
 2084,'WICHITA FA~7',  20.0000,1,   2,  11,   1,0.97526592, -15.493002, 1.10000, 0.90000, 1.10000, 0.90000
 2085,'WICHITA FA~8',  20.0000,1,   2,  11,   1,0.97526592, -15.493002, 1.10000, 0.90000, 1.10000, 0.90000
 2086,'MONTAGUE 0  ', 161.0000,1,   2,  11,   1,0.98511446, -35.734631, 1.10000, 0.90000, 1.10000, 0.90000
 2087,'SPUR 0      ', 161.0000,2,   2,  10,   1,0.99569619,  12.003055, 1.10000, 0.90000, 1.10000, 0.90000
 2088,'ARCHER 1 0  ', 161.0000,1,   2,  11,   1,0.98384219, -18.758421, 1.10000, 0.90000, 1.10000, 0.90000
 2089,'ARCHER 1 1  ',  24.0000,2,   2,  11,   1,1.00000000, -15.115808, 1.10000, 0.90000, 1.10000, 0.90000
 2090,'ANNONA 0    ', 161.0000,1,   2,  11,   1,0.99936128, -47.225601, 1.10000, 0.90000, 1.10000, 0.90000
 2091,'SEYMOUR 0   ', 161.0000,2,   2,  10,   1,1.00000000,  16.463818, 1.10000, 0.90000, 1.10000, 0.90000
 2092,'DENISON 1 0 ', 161.0000,1,   2,  11,   1,1.00195253, -52.818464, 1.10000, 0.90000, 1.10000, 0.90000
 2093,'PANHANDLE~10', 161.0000,2,   2,  10,   1,0.99644989,  10.167826, 1.10000, 0.90000, 1.10000, 0.90000
 2094,'PANHANDLE~11',  13.8000,2,   2,  10,   1,1.00000000,  10.821772, 1.10000, 0.90000, 1.10000, 0.90000
 2095,'PANHANDLE~12',  13.8000,2,   2,  10,   1,1.00000000,  10.486411, 1.10000, 0.90000, 1.10000, 0.90000
 2096,'RALLS 1 0   ', 500.0000,1,   2,  10,   1,0.99443913,   0.785488, 1.10000, 0.90000, 1.10000, 0.90000
 2097,'RALLS 1 1   ', 230.0000,1,   2,  10,   1,0.98799896,   2.487528, 1.10000, 0.90000, 1.10000, 0.90000
 2098,'RALLS 1 2   ', 161.0000,1,   2,  10,   1,0.96545267,  11.644909, 1.10000, 0.90000, 1.10000, 0.90000
 2099,'RALLS 1 3   ',  18.0000,2,   2,  10,   1,0.99520248,   0.936092, 1.10000, 0.90000, 1.10000, 0.90000
 2100,'RALLS 1 4   ',  18.0000,2,   2,  10,   1,1.00759184,   3.497166, 1.10000, 0.90000, 1.10000, 0.90000
 2101,'SHERMAN 1 0 ', 500.0000,1,   2,  11,   1,1.00902796, -48.141270, 1.10000, 0.90000, 1.10000, 0.90000
 2102,'SHERMAN 1 1 ', 161.0000,1,   2,  11,   1,1.00615227, -49.281280, 1.10000, 0.90000, 1.10000, 0.90000
 2103,'SHERMAN 1 2 ',  20.0000,1,   2,  11,   1,1.00902796, -48.141270, 1.10000, 0.90000, 1.10000, 0.90000
 2104,'SHERMAN 1 3 ',  20.0000,1,   2,  11,   1,1.00902796, -48.141270, 1.10000, 0.90000, 1.10000, 0.90000
 2105,'SHERMAN 1 4 ',  20.0000,1,   2,  11,   1,1.00902796, -48.141270, 1.10000, 0.90000, 1.10000, 0.90000
 2106,'WHITEWRIGH~1', 161.0000,1,   2,  11,   1,0.98823947, -52.535927, 1.10000, 0.90000, 1.10000, 0.90000
 2107,'SHERMAN 2 0 ', 161.0000,1,   2,  11,   1,1.00059986, -50.269789, 1.10000, 0.90000, 1.10000, 0.90000
 2108,'ROCHESTER 0 ', 161.0000,1,   2,  10,   1,0.99727517,  -4.321068, 1.10000, 0.90000, 1.10000, 0.90000
 2109,'BURKBURNET~1', 161.0000,2,   2,  11,   1,0.99742877, -15.113933, 1.10000, 0.90000, 1.10000, 0.90000
 2110,'MUENSTER 2 0', 161.0000,1,   2,  11,   1,1.00989878, -38.993506, 1.10000, 0.90000, 1.10000, 0.90000
