Source,Target,Type,Id,Label,Weight
35,4,Directed,158,,3
35,5,Directed,159,,3
35,6,Directed,160,,3
35,7,Directed,161,,3
35,8,Directed,162,,2
35,9,Directed,163,,2
35,11,Directed,164,,2
35,12,Directed,165,,3
35,13,Directed,166,,1
35,14,Directed,167,,3
35,18,Directed,168,,2
35,20,Directed,169,,2
35,22,Directed,170,,2
35,32,Directed,171,,2
1,1,Directed,172,,5
1,10,Directed,177,,1
1,28,Directed,179,,2
1,29,Directed,180,,2
1,33,Directed,181,,2
2,2,Directed,183,,3
2,13,Directed,186,,3
3,7,Directed,189,,2
3,11,Directed,190,,3
4,7,Directed,192,,5
4,11,Directed,193,,3
4,17,Directed,194,,3
5,5,Directed,196,,2
5,6,Directed,197,,5
5,17,Directed,198,,3
6,2,Directed,200,,4
6,3,Directed,201,,4
6,4,Directed,202,,3
7,3,Directed,204,,5
7,31,Directed,205,,3
7,33,Directed,206,,3
7,34,Directed,207,,4
8,34,Directed,209,,2
9,5,Directed,211,,3
9,6,Directed,212,,3
10,1,Directed,213,,3
11,4,Directed,215,,3
12,2,Directed,217,,5
12,3,Directed,218,,3
12,4,Directed,219,,3
12,34,Directed,220,,3
13,33,Directed,221,,3
13,34,Directed,222,,2
14,33,Directed,223,,3
15,6,Directed,225,,3
15,7,Directed,226,,3
16,1,Directed,227,,2
16,2,Directed,228,,1
17,33,Directed,229,,1
17,34,Directed,230,,2
18,34,Directed,233,,1
22,26,Directed,240,,5
22,28,Directed,241,,4
22,30,Directed,242,,3
22,33,Directed,243,,5
22,34,Directed,244,,4
23,26,Directed,245,,2
23,28,Directed,246,,3
23,32,Directed,247,,2
24,24,Directed,248,,5
24,25,Directed,249,,2
24,32,Directed,250,,7
25,30,Directed,251,,4
25,34,Directed,252,,2
26,3,Directed,253,,2
26,34,Directed,256,,4
27,3,Directed,257,,2
27,32,Directed,258,,2
28,27,Directed,261,,4
28,33,Directed,262,,4
29,2,Directed,264,,2
29,9,Directed,265,,3
29,33,Directed,266,,3
30,1,Directed,268,,2
30,25,Directed,269,,2
30,26,Directed,270,,7
30,29,Directed,271,,2
31,3,Directed,274,,2
31,15,Directed,276,,3
31,16,Directed,277,,3
31,19,Directed,278,,1
31,21,Directed,279,,3
31,23,Directed,280,,2
31,24,Directed,281,,5
31,30,Directed,282,,4
31,31,Directed,283,,3
31,32,Directed,284,,4
32,9,Directed,286,,4
32,10,Directed,287,,2
32,14,Directed,288,,3
32,15,Directed,289,,2
32,16,Directed,290,,4
32,19,Directed,291,,2
32,20,Directed,292,,1
32,21,Directed,293,,1
32,23,Directed,294,,3
32,24,Directed,295,,4
32,27,Directed,296,,2
32,28,Directed,297,,4
32,30,Directed,299,,2
32,31,Directed,300,,3
32,32,Directed,301,,4
